,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
133,Augsburg,Stuttgart,2,1,4,6.6,7.5,,,,48%,52%,14,28,"['Gikiewicz', 'Oxford', 'Khedira', 'Uduokhai', 'Caligiuri', 'Strobl', 'Gruezo', 'Iago', 'Richter', 'Niederlechner', 'Vargas']","['Kobel', 'Stenzel', 'Anton', 'Kempf', 'Silas', 'Endo', 'Sosa', 'Mangala', 'Castro', 'Klimowicz', 'Gonzalez']",3 - 4 - 3,4 - 3 - 3
134,Arminia Bielefeld,Hertha Berlin,1,1,0,7.5,6.8,,,,,,,10,"['Ortega', 'Brunner', 'Pieper', 'Nilsson', 'Laursen', 'Doan', 'Kunze', 'Hartel', 'Yabo', 'Klos', 'Cordova']","['Schwolow', 'Pekarik', 'Stark', 'Alderete', 'Plattenhardt', 'Darida', 'Tousart', 'Guendouzi', 'Lukebakio', 'Cordoba', 'Mittelstadt']",4 - 4 - 2,4 - 3 - 3
135,Union Berlin,Bayer Leverkusen,1,1,0,7.2,6.8,,3.40,2.40,37%,63%,10,13,"['Luthe', 'Friedrich', 'Knoche', 'Hubner', 'Trimmel', 'Promel', 'Lenz', 'Andrich', 'Ingvartsen', 'Becker', 'Awoniyi']","['Hradecky', 'Dragovic', 'Tah', 'Tapsoba', 'Sinkgraven', 'Amiri', 'Baumgartlinger', 'Demirbay', 'Diaby', 'Schick', 'Bailey']",3 - 3 - 2 - 2,4 - 3 - 3
136,Wolfsburg,RB Leipzig,0,2,2,7.1,7.1,,,,,47%,,13,"['Casteels', 'Mbabu', 'Lacroix', 'Brooks', 'Paulo Otavio', 'Schlager', 'Guilavogui', 'Baku', 'Gerhardt', 'Steffen', 'Weghorst']","['Gulacsi', 'Orban', 'Upamecano', 'Halstenberg', 'Mukiele', 'Kampl', 'Sabitzer', 'Angelino', 'Haidara', 'Olmo', 'Forsberg']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
137,Werder Bremen,Augsburg,1,2,0,7.2,6.5,,,3.80,48%,52%,10,6,"['Pavlenka', 'Veljkovic', 'Toprak', 'Friedl', 'Gebre Selassie', 'Eggestein', 'Mbom', 'Mohwald', 'Agu', 'Sargent', 'Selke']","['Gikiewicz', 'Oxford', 'Gouweleeuw', 'Uduokhai', 'Caligiuri', 'Khedira', 'Gruezo', 'Pedersen', 'Vargas', 'Finnbogason', 'Hahn']",3 - 5 - 2,3 - 4 - 3
138,Hoffenheim,Arminia Bielefeld,0,0,0,7.3,7.2,,,,,40%,,8,"['Baumann', 'Adams', 'Vogt', 'Posch', 'Gacinovic', 'Rudy', 'Samassekou', 'John', 'Bebou', 'Dabbur', 'Kramaric']","['Ortega', 'Brunner', 'Pieper', 'Nilsson', 'Laursen', 'Kunze', 'Doan', 'Hartel', 'Yabo', 'Klos', 'Cordova']",3 - 4 - 3,4 - 1 - 3 - 2
139,FC Koln,Hertha Berlin,0,0,0,7.1,7.0,3.20,3.25,2.30,48%,52%,8,14,"['Horn', 'Cestic', 'Bornauw', 'Czichos', 'Ehizibue', 'Hector', 'Skhiri', 'Horn', 'Wolf', 'Duda', 'Drexler']","['Schwolow', 'Pekarik', 'Stark', 'Alderete', 'Mittelstadt', 'Darida', 'Tousart', 'Guendouzi', 'Lukebakio', 'Piatek', 'Cordoba']",3 - 4 - 3,4 - 4 - 2
140,Dortmund,Mainz,0,1,1,7.4,6.9,,,,,,,,"['Burki', 'Meunier', 'Hummels', 'Zagadou', 'Guerreiro', 'Can', 'Bellingham', 'Sancho', 'Reus', 'Brandt', 'Haaland']","['Zentner', 'Niakhate', 'Bell', 'Hack', 'Oztunali', 'Latza', 'Barreiro', 'Boetius', 'Mwene', 'Quaison', 'Burkardt']",4 - 2 - 3 - 1,3 - 5 - 2
141,Stuttgart,B. Monchengladbach,0,2,2,7.1,7.1,2.75,3.80,2.40,58%,42%,19,8,"['Kobel', 'Stenzel', 'Anton', 'Kempf', 'Silas', 'Mangala', 'Endo', 'Castro', 'Sosa', 'Klimowicz', 'Gonzalez']","['Sommer', 'Lainer', 'Ginter', 'Elvedi', 'Bensebaini', 'Kramer', 'Neuhaus', 'Zakaria', 'Hofmann', 'Stindl', 'Embolo']",3 - 5 - 2,4 - 3 - 3
142,Bayern Munich,Freiburg,1,2,1,7.5,6.6,1.22,7.00,11.00,60%,40%,25,8,"['Neuer', 'Pavard', 'Boateng', 'Alaba', 'Davies', 'Kimmich', 'Goretzka', 'Gnabry', 'Muller', 'Coman', 'Lewandowski']","['Muller', 'Lienhart', 'Schlotterbeck', 'Gulde', 'Kubler', 'Santamaria', 'Hofler', 'Gunter', 'Sallai', 'Demirovic', 'Grifo']",4 - 2 - 3 - 1,3 - 4 - 3
