,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
44,Liverpool,Crystal Palace,1,3,0,7.6,6.6,1.28,5.75,10.00,60%,40%,25,13,"['Alisson', 'Milner', 'Konate', 'van Dijk', 'Tsimikas', 'Henderson', 'Fabinho', 'Thiago', 'Salah', 'Diogo Jota', 'Mane']","['Guaita', 'Ward', 'Andersen', 'Guehi', 'Mitchell', 'Gallagher', 'Kouyate', 'McArthur', 'Ayew', 'Benteke', 'Zaha']",4 - 3 - 3,4 - 3 - 3
45,Burnley,Arsenal,2,0,1,6.7,7.3,3.75,3.60,1.95,45%,55%,18,13,"['Pope', 'Lowton', 'Tarkowski', 'Mee', 'Taylor', 'Gudmundsson', 'Westwood', 'Brownhill', 'McNeil', 'Barnes', 'Wood']","['Ramsdale', 'Tomiyasu', 'White', 'Gabriel', 'Tierney', 'Partey', 'Pepe', 'Smith Rowe', 'Odegaard', 'Saka', 'Aubameyang']",4 - 4 - 2,4 - 1 - 4 - 1
46,Aston Villa,Everton,1,3,0,7.3,6.3,2.10,3.40,3.50,56%,44%,15,11,"['Martinez', 'Cash', 'Konsa', 'Tuanzebe', 'Mings', 'Targett', 'Ramsey', 'Douglas Luiz', 'McGinn', 'Ings', 'Watkins']","['Begovic', 'Godfrey', 'Mina', 'Keane', 'Digne', 'Townsend', 'Doucoure', 'Allan', 'Iwobi', 'Gray', 'Rondon']",5 - 3 - 2,4 - 4 - 1 - 1
47,West Ham,Manchester Utd,2,1,2,6.8,7.3,4.20,3.80,1.80,40%,60%,13,17,"['Fabianski', 'Coufal', 'Zouma', 'Ogbonna', 'Cresswell', 'Soucek', 'Rice', 'Bowen', 'Fornals', 'Benrahma', 'Vlasic']","['de Gea', 'Wan-Bissaka', 'Varane', 'Maguire', 'Shaw', 'McTominay', 'Fred', 'Greenwood', 'Fernandes', 'Pogba', 'Ronaldo']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
48,Brighton,Leicester,1,2,1,7.4,6.6,2.45,3.20,3.00,37%,63%,12,14,"['Sanchez', 'Veltman', 'Duffy', 'Dunk', 'March', 'Lallana', 'Bissouma', 'Cucurella', 'Trossard', 'Welbeck', 'Maupay']","['Schmeichel', 'Pereira', 'Soyuncu', 'Vestergaard', 'Bertrand', 'Tielemans', 'Ndidi', 'Soumare', 'Maddison', 'Vardy', 'Barnes']",3 - 4 - 2 - 1,4 - 3 - 3
49,Tottenham,Chelsea,2,0,3,6.7,7.5,4.33,3.40,1.85,47%,53%,8,20,"['Lloris', 'Emerson Royal', 'Romero', 'Dier', 'Reguilon', 'Ndombele', 'Hojbjerg', 'Alli', 'Lo Celso', 'Kane', 'Son']","['Arrizabalaga', 'Christensen', 'Silva', 'Rudiger', 'Azpilicueta', 'Jorginho', 'Kovacic', 'Alonso', 'Mount', 'Havertz', 'Lukaku']",4 - 3 - 2 - 1,3 - 4 - 2 - 1
50,Manchester Utd,Aston Villa,2,0,1,6.8,7.0,1.36,5.00,8.00,59%,41%,28,7,"['de Gea', 'Wan-Bissaka', 'Varane', 'Maguire', 'Shaw', 'McTominay', 'Fred', 'Greenwood', 'Fernandes', 'Pogba', 'Ronaldo']","['Martinez', 'Konsa', 'Hause', 'Mings', 'Cash', 'McGinn', 'Ramsey', 'Douglas Luiz', 'Targett', 'Ings', 'Watkins']",4 - 2 - 3 - 1,3 - 5 - 2
51,Chelsea,Manchester City,2,0,1,6.6,7.2,2.90,3.20,2.50,41%,59%,5,15,"['Mendy', 'Azpilicueta', 'Christensen', 'Rudiger', 'James', 'Kante', 'Jorginho', 'Kovacic', 'Alonso', 'Lukaku', 'Werner']","['Ederson', 'Walker', 'Dias', 'Laporte', 'Cancelo', 'Silva', 'Rodri', 'De Bruyne', 'Gabriel Jesus', 'Foden', 'Grealish']",3 - 5 - 2,4 - 3 - 3
52,Watford,Newcastle,0,1,1,7.0,7.2,2.05,3.50,3.50,52%,48%,15,20,"['Foster', 'Kiko Femenia', 'Troost-Ekong', 'Cathcart', 'Rose', 'Kucka', 'Sissoko', 'Sarr', 'Cleverley', 'Dennis', 'King']","['Darlow', 'Manquillo', 'Fernandez', 'Clark', 'Ritchie', 'Hayden', 'Almiron', 'Willock', 'Longstaff', 'Joelinton', 'Saint-Maximin']",4 - 2 - 3 - 1,4 - 1 - 4 - 1
53,Leicester,Burnley,0,2,2,7.0,7.0,1.65,3.80,5.25,67%,33%,22,9,"['Schmeichel', 'Pereira', 'Soyuncu', 'Vestergaard', 'Bertrand', 'Tielemans', 'Ndidi', 'Soumare', 'Lookman', 'Vardy', 'Barnes']","['Pope', 'Lowton', 'Tarkowski', 'Mee', 'Taylor', 'McNeil', 'Westwood', 'Brownhill', 'Cornet', 'Vydra', 'Wood']",4 - 3 - 3,4 - 4 - 2
54,Leeds,West Ham,2,1,2,6.7,7.2,2.90,3.60,2.30,54%,46%,15,20,"['Meslier', 'Shackleton', 'Cresswell', 'Cooper', 'Firpo', 'Phillips', 'Raphinha', 'Klich', 'Dallas', 'James', 'Rodrigo']","['Fabianski', 'Coufal', 'Zouma', 'Ogbonna', 'Cresswell', 'Soucek', 'Rice', 'Bowen', 'Fornals', 'Benrahma', 'Antonio']",4 - 1 - 4 - 1,4 - 2 - 3 - 1
55,Everton,Norwich,1,2,0,7.3,6.6,1.70,3.75,5.25,47%,53%,11,10,"['Pickford', 'Godfrey', 'Mina', 'Keane', 'Digne', 'Townsend', 'Doucoure', 'Allan', 'Iwobi', 'Gray', 'Rondon']","['Krul', 'Aarons', 'Kabak', 'Hanley', 'Gibson', 'Williams', 'Lees-Melou', 'Normann', 'McLean', 'Sargent', 'Pukki']",4 - 4 - 1 - 1,5 - 3 - 2
56,Brentford,Liverpool,0,3,3,7.1,7.1,7.50,5.25,1.36,33%,67%,12,16,"['Raya', 'Ajer', 'Jansson', 'Pinnock', 'Canos', 'Onyeka', 'Norgaard', 'Janelt', 'Henry', 'Mbeumo', 'Toney']","['Alisson', 'Alexander-Arnold', 'Matip', 'van Dijk', 'Robertson', 'Henderson', 'Fabinho', 'Jones', 'Salah', 'Diogo Jota', 'Mane']",3 - 5 - 2,4 - 3 - 3
